regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-03-27;13;376818.0;0.0;0;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-03-28;13;376818.0;0.0;0;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-03-29;14;376818.0;0.0;0;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-03-30;14;376818.0;0.0;0;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-03-31;14;376818.0;1.0;1;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-01;14;376818.0;2.0;1;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-02;14;376818.0;0.0;-2;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-03;14;376818.0;2.0;2;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-04;14;376818.0;2.0;0;0;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-05;15;376818.0;3.0;1;1;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-06;15;376818.0;6.0;3;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-07;15;376818.0;7.0;1;2;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-08;15;376818.0;8.0;1;1;-1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-09;15;376818.0;10.0;2;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-10;15;376818.0;11.0;1;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-11;15;376818.0;10.0;-1;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-12;16;376818.0;10.0;0;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-13;16;376818.0;10.0;0;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-14;16;376818.0;13.0;3;1;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-15;16;376818.0;21.0;8;2;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-16;16;376818.0;23.0;2;3;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-17;16;376818.0;33.0;10;4;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-18;16;376818.0;50.0;17;3;-1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-19;17;376818.0;56.0;6;3;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-20;17;376818.0;58.0;2;3;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-21;17;376818.0;58.0;0;3;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-22;17;376818.0;58.0;0;3;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-23;17;376818.0;61.0;3;5;2;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-24;17;376818.0;63.0;2;6;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-25;17;376818.0;69.0;6;6;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-26;18;376818.0;78.0;9;6;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-27;18;376818.0;79.0;1;6;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-28;18;376818.0;85.0;6;6;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-29;18;376818.0;92.0;7;6;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-04-30;18;376818.0;103.0;11;7;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-01;18;376818.0;117.0;14;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-02;18;376818.0;117.0;0;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-03;19;376818.0;119.0;2;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-04;19;376818.0;119.0;0;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-05;19;376818.0;127.0;8;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-06;19;376818.0;145.0;18;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-07;19;376818.0;155.0;10;7;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-08;19;376818.0;160.0;5;9;2;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-09;19;376818.0;166.0;6;10;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-10;20;376818.0;167.0;1;10;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-11;20;376818.0;167.0;0;10;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-12;20;376818.0;172.0;5;10;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-13;20;376818.0;183.0;11;11;1;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-14;20;376818.0;195.0;12;11;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-15;20;376818.0;214.0;19;11;0;;;0.0
Sudeste;SP;Bauru;35;350600.0;35062.0;BAURU;2020-05-16;20;376818.0;220.0;6;12;1;;;0.0
